1.0 Manage Product/Services/Applications,,,,,,,"Capability to manage the delivery of a particular product, service or offering to the market",L1,,1.0 ,,
,1.1 Develop Concepts & Plans,,,,,,"Capability to develop the marketing and engineering details including the target market, decision makers, product features, benefits, customer research, forecasts, prototyping, etc",L2,,,,
,,1.1.1 Translate Customer Wants into Requirements,,,,,"Establish communication channels with the customer and use tools that will capture requirements, prioritize them, and relate them to the product design.",L3,,,,
,,1.1.2 Develop Product/Service Definition,,,,,Define the product concept that states the benefits to be offered by a new product and the product attributes that will provide those benefits.,L3,,,,
,,1.1.3 Define Key Product/Service Related Strategies,,,,,Identify several methods strategies for solving the needs of the customer.,L3,,,,
,,,1.1.3.1 Review Strategic Scenarios,,,,Identify several methods strategies for solving the needs of the customer.,L4,,,,
,,1.1.4 Plan Product/Service Product ,,,,,,L3,,,,
,,,1.1.4.1 Develop Product Life Cycle and Development Schedule Targets,,,"Create a schedule that addresses the key development phases, entry/exit criteria, required resources, and key milestones.","Create a schedule that addresses the key development phases, entry exit criteria, required resources, and key milestones.",L4,,,,
,,,1.1.4.2 Plan and Deploy Quality Targets,,,,"Gain agreement with the customer about the capability and reliability of the product.  Communicate these targets to everyone else in the development process, both internally and externally.",L4,,,,
,,,1.1.4.3 Plan and Deploy Cost Targets,,,,Determine how much should be invested in the development of the product both in terms of resources and direct materials.  Work with management and Vendor Supplier partners to gain agreement with the estimates.,L4,,,,
,,,1.1.4.4 Create Master Plan,,,,Develop a plan to bring the product to market beginning from conceptual design and ending at product introduction.,L4,,,,
,,,1.1.4.5 Forecast Sales Opportunity,,,,,L4,,,,
,,,1.1.4.6 Identify Key Suppliers,,,,"Vendor Suppliers should be chosen based on price, quality, reliability, delivery, capacity, growth, proximity, and technology.",L4,,,,
,,1.1.5 Evaluate and Manage Product/Service Portfolio,,,,,Manage the development of all sub-components that make up the end product.,L3,,,,
,,1.1.6 Life Cycle and Development Schedule Targets,,,,,"Create a schedule that addresses the key development phases, entry exit criteria, required resources, and key milestones.",L3,,,,
,,1.1.7 Technology Integration Analysis,,,,,Participate in R&D to look for opportunities to integrate proven technologies that will serve as market differentiators.,L3,,,,
,1.2 Design New Product/Service and Processes,,,,,,Capability to manage design-relevant decisions in a market and customer-oriented way as well as optimizing processes,L2,,,,
,,1.2.1 Create Product/Service Specifications,,,,,"Define specifications regarding purpose, function, quality, and look of Product (Software, Services & Hardware).",L3,,,,
,,1.2.2 Design Product/Service Process Details and Sourcing Strategy,,,,,Decide how the inputs into the product or service will be sourced and develop the processes for producing the product or service.,L3,,,,
,,"1.2.3 Design, Prototype, and Test",,,,,Develop a prototype of the product and run it through various tests that reflect the initial intent and design of the product.,L3,,,,
,,1.2.4 Product White Space Identification,,,,,Identifying new product or improvements in existing MS products,L4,,,,
,,1.2.5 Design and Prototype Production/Delivery Process,,,,,"In the case of a product, a process outlining the production steps would be developed.  For services, the method of delivery would be defined.  In both cases, the processes would identify what steps are required, the sequence of the steps, and how they wi",L4,,,,
,,1.2.6 Design and Obtain Supporting Materials and Equipment,,,,,"If the parts do not exist in-house already they will need to be designed and procured.  Budget constraints, specifications, and delivery schedules need to be communicated to the Vendor Supplier.",L3,,,,
,,1.2.7 Manage Environmental and Legal Compliance,,,,,"The production process needs to be reviewed and approved by environmental and legal departments within the organization to validate that patents do not already exist, and environmental regulations are not being broken.",L3,,,,
,1.3 Develop New Products & Services,,,,,,"Capability to develop a service, offering or product for customer markets",L2,,,,
,,1.3.1 Design Security Environment Services & Tools,,,,,,L3,,,,
,,1.3.2 Define Versioning,,,,,Define product versions to be available,L3,,,,
,,,1.3.2.1 Define Functionality for Sale in a Product Line ,,,,"For each product version, identify its functionality",L4,,,,
,,,1.3.2.2 Define Product Module,,,,"For each product version, identify its modules",L4,,,,
,,,1.3.2.3 Define Major and Minor Versions ,,,,Define subsets of functionality to be available as distinct sub versions of the overall version,L4,,,,
,,,1.3.2.4 Define Add-on Availability ,,,,Define the availability of third party add-on components for the version,L4,,,,
,,,1.3.2.5 Update Customer Account For New Releases,,,,,L4,,,,
,,,1.3.2.6 Register Add-ons,,,,,L4,,,,
,,,1.3.2.7 Release New Versions,,,,,L4,,,,
,,1.3.3 Define SKUs,,,,,,L3,,,,
,,,1.3.3.1 Manage SKU Configuration,,,,,L4,,,,
,,,"1.3.3.2 Define SKU Types (Modules, Enhancements, Services) ",,,,,L4,,,,
,,,1.3.3.3 Assign SKU Numbers and Attributes,,,,,L4,,,,
,,,1.3.3.4 Define SKU and Module Configuration Relationship,,,,,L4,,,,
,,,1.3.3.5 Define Product Margin Attributes,,,,,L3,,,,
,,,1.3.3.6 Define Revenue Accounting and Posting Profiles ,,,,,L4,,,,
,,,1.3.3.7 Execute MS Sales and SKU Mapping,,,,,L4,,,,
,,,1.3.3.8 Setup Service SKU,,,,,L4,,,,
,,1.3.4 Manage SKU Availability,,,,,,L3,,,,
,,,1.3.4.1 Set up SKU Availability ,,,,,L4,,,,
,,,1.3.4.2 Setup Backorder Release ,,,,,L4,,,,
,,,1.3.4.3 Define Kits and BOMs for Orders ,,,,,L4,,,,
,,1.3.5 Define Licensing,,,,,,L3,,,,
,,,1.3.5.1 Determine Functionality Unlock,,,,,L4,,,,
,,,1.3.5.2 Define Components of License File and Registration Key ,,,,,L4,,,,
,,,1.3.5.3 Define License Category Definition,,,,,L4,,,,
,,,1.3.5.4 Map Partner\Customer License Details,,,,,L4,,,,
,,1.3.6 Set Standard Pricing Definition,,,,,Identify Licensing and pricing requirements based on market analysis,L3,,,,
,,,1.3.6.1 Manage Price Change Requests,,,,,L4,,,,
,,,1.3.6.2 Define Price for SKU,,,,,L4,,,,
,,,1.3.6.3 Define SKU Deferral Criteria,,,,,L4,,,,
,,,1.3.6.4 Analyze Product/Service Cost,,,,,L4,,,,
,,,1.3.6.5 Evaluate Market Value,,,,,L4,,,,
,,,1.3.6.6 Determine Penetration/Sales Volume Goals,,,,,L4,,,,
,,,1.3.6.7 Determine Revenue/Profit Goals,,,,,L4,,,,
,,,1.3.6.8 Calculate Standard Price,,,,,L4,,,,
,,1.3.7 On-Board Fulfillment Vendors,,,,,,L3,,,,
,,,1.3.7.1 Define Physical Media ,,,,,L4,,,,
,,,1.3.7.2 Set Shipping Attributes,,,,,L4,,,,
,,,1.3.7.3 Communication With Fulfillment Vendors,,,,,L4,,,,
,,,1.3.7.4 Produce Bulk Shipment Scenarios ,,,,,L4,,,,
,,1.3.8 Prototype Product/Service,,,,,,L3,,,,
,,1.3.9 Develop/Acquire Supporting Product/Service,,,,,,L3,,,,
,,1.3.10 Design and Obtain Supporting Products & Services & Services,,,,,,L3,,,,
,,,1.3.10.1 Develop Internal Support Materials,,,,,L4,,,,
,,,1.3.10.2 Create Product Supporting Material/Literature ,,,,,L4,,,,
,,1.3.11 Manage Testing ,,,,,,L3,,,,
,,,1.3.11.1 Manage Test Cases,,,,,L4,,,,
,,,1.3.11.2 Track Defects,,,,,L4,,,,
,,,1.3.11.3 Automate Testing,,,,,L4,,,,
,,,1.3.11.4 Load/Stress Performance Testing,,,,,L4,,,,
,,1.3.12 Globalize Product ,,,,,,L3,,,,
,,1.3.13 Localize Product,,,,,,L3,,,,
,,1.3.14 Personalize Product,,,,,,L3,,,,
,1.4 Launch  Products & Services ,,,,,,"Capability to manage the production, develop needed documentation, and prepare to install and support the product offering or service",L2,,,,
,,1.4.1 Launch Preparation,,,,,,L3,,,,
,,,1.4.1.1 Develop Products & Services Administration Plan,,,,,L4,,,,
,,,1.4.1.2 Assess Delivery Capabilities,,,,,L4,,,,
,,,1.4.1.3 Identify Product Partner,,,,,L4,,,,
,,,,1.4.1.3.1 Identify Market Leaders,,,,L5,,,,
,,,,1.4.1.3.2 Develop List Of Potential Partners,,,,L5,,,,
,,,,1.4.1.3.3 Match Capabilities Of Potential Partners To Product/Service Requirements,,,,L5,,,,
,,,,1.4.1.3.4 Identify IT Integration Needs With Potential Partners,,,,L5,,,,
,,,,1.4.1.3.5 Select Partner,,,,L5,,,,
,,,1.4.1.4 Develop Products & Services Life Cycle and Development Schedule Targets,,,,,L4,,,,
,,,1.4.1.5 Design Service Process Details and Sourcing Strategy,,,,,L4,,,,
,,,1.4.1.6 Prototype Products & Services/Delivery Process,,,,,L4,,,,
,,,1.4.1.7 Develop Processes And Tools,,,,,L4,,,,
,,,1.4.1.8 Allocate Resources,,,,,L4,,,,
,,,1.4.1.9 Prepare Products & Services Financial Models,,,,,L4,,,,
,,,1.4.1.10 Determine Preferred Distribution Channels,,,,,L4,,,,
,,,1.4.1.11 Prototype Product/Delivery Process,,,,,L4,,,,
,,,1.4.1.12 Manage Production Transition,,,,,L4,,,,
,,1.4.2 Launch Execution,,,,,,L3,,,,
,,,1.4.2.1 Determine Timing,,,,,L4,,,,
,,,1.4.2.2 Release Processes And Tools,,,,,L4,,,,
,,,1.4.2.3 Update IT,,,,,L4,,,,
,,,1.4.2.4 Implement Communication Strategy,,,,,L4,,,,
,,,1.4.2.5 Implement Training,,,,,L4,,,,
,,,1.4.2.6 Identify Improvement Opportunities,,,,,L4,,,,
,,,1.4.2.7 Finalize Pricing Strategy,,,,,L4,,,,
,,,1.4.2.8 Develop Business Case,,,,,L4,,,,
,,1.4.3 Transition Product Into Production,,,,,"Create requisitions for production quantities, schedule production jobs, setup inventory locations, plan for product delivery and distribution.",L3,,,,
,1.5 Manage Product/Service,,,,,,"Capability for management of existing products, services or offerings.",L2,,,,
,,1.5.1 Manage Products/Services Portfolio,,,,,,L3,,,,
,,1.5.2 Manage Partner\Customer Feedback,,,,,,L3,,,,
,,1.5.3 Manage Product Releases & Configuration,,,,,,L3,,,,
,,,1.5.3.1 Manage Patches,,,,Software ,L4,,,,
,,,1.5.3.2 Design Hot Refresh,,,,,L4,,,,
,,,1.5.3.3 Design Configuration Control,,,,,L4,,,,
